"DATE","IBOV","DOL","PETR","VALE","BBDC","WTI","PRE5Y","VOL20D","VOL20D1P"
2008-01-31,-0.0133414346653513,-0.0102361985253946,-0.0273586345281727,-0.0107466012185133,-0.0266062991578195,-0.0072822451051584,0.00193691461455536,0.0298042872999557,0.0305012098161022
2008-02-01,0.0263598770454099,-0.00867783477162654,0.0160398256810366,0.0575442163138695,-0.0034297997180488,-0.029221780388105,-0.00621798841969534,0.0305012098161022,0.0307795876369594
2008-02-06,-0.0351731843582375,0.00429123816861654,-0.0361410050021238,-0.0331481140811767,-0.0276495245052977,-0.0132210724523656,0.00296089874455507,0.0307795876369594,0.0307753648832385
2008-02-07,-5.08763450532967e-05,0.00506849229939488,0.0306178243460131,-0.0134586431073114,-0.016919370659767,0.0103864427409492,-0.00373825774489589,0.0307753648832385,0.0303209295313706
2008-02-08,0.00186377553103689,0.00277959165830099,0.00674642239885515,0.0207750625749643,-0.00743665399106952,0.0411534940135532,-0.00469828327042476,0.0303209295313706,0.0308924849628289
2008-02-11,0.0261963893329469,-0.00448520353349458,0.0166094622718944,0.0367013668504277,0.0396903886509432,0.0193174948850565,-0.00451010583649225,0.0308924849628289,0.0310616333018141
2008-02-12,0.0189800549338681,-0.0052487569153552,0.00204192011371163,0.00736023428616495,0.0320883145515003,-0.0079408079029486,-0.0051189892260548,0.0310616333018141,0.0306885126135962
2008-02-13,0.0126212535968246,-0.00183213150985995,0.0145327155676744,0.0156169988507875,0.0270006018185063,0.00494358878915246,-0.00361186421237303,0.0306885126135962,0.0308101181408983
2008-02-14,-0.0124109367456242,0.000744708309271869,-0.0122554927941669,-0.00848811462281418,-0.0246874896526741,0.0226824774857786,0.00319970382056223,0.0308101181408983,0.029643682500694
2008-02-15,-0.00888793638537244,0.00377229528270151,-0.00877778737660151,-0.0195469327645181,0.00607268121044191,0.00157076319012805,0.00626132387444445,0.029643682500694,0.0287816363950237
2008-02-19,-0.00807377863956837,-0.00213250419421263,0.00411160637969221,0.00554113971911718,-0.0164612770540717,0.0452112177096691,0.00262414923491194,0.0287816363950237,0.0290737436831541
2008-02-20,0.0230249058330187,-0.00317836668501792,0.0023419214450815,0.0354544809844022,0.0203313297506935,0.00866323566082183,-0.00465519785263568,0.0290737436831541,0.0234471004332774
2008-02-21,0.000705666531294113,-0.0117021682969294,-0.0175805365659594,-0.00333890126551406,-0.00366599188579197,-0.0229664609712321,-0.00452230630795958,0.0234471004332774,0.022001277077792
2008-02-22,0.0127104514914294,-0.000175700606619089,0.00344602563105401,0.0149380371088661,0.0239906677762272,0.00465587885586416,-0.000570653301853241,0.022001277077792,0.019803150597565
2008-02-25,0.00604902776520966,-0.00134806455957071,-0.000593295775338731,0,0.0205054503308499,0.00372927912931686,0.00343335197067018,0.019803150597565,0.0161561768161794
2008-02-26,0.00279608730200032,-0.0130466149985896,0.00177883236944076,0,0.0384773275610013,0.0142838167425952,-0.00444055746235739,0.0161561768161794,0.0158570084072455
2008-02-27,0.00477517819431661,-0.00715609231892989,0.0152854240018225,-0.00313505743122278,0.0128745131220493,-0.0123741724615751,-0.00411890473404553,0.0158570084072455,0.0156979965397846
2008-02-28,0.000930949559410976,0.00143532110043021,0.00523713737020426,0.0323579161081264,0.00702016553885665,0.0297761747931204,0.00164768250177749,0.0156979965397846,0.0175885798775411
2008-02-29,-0.0320228224049384,0.00779835484651514,-0.0561006279258844,-0.0634084931930508,-0.0283812925382247,-0.0080243115759826,0.00806945297434902,0.0175885798775411,0.0174002759471968
2008-03-03,0.0156435104758597,-0.0104912741005351,-0.00677551098360762,-0.00615597019285907,0.0239532410224927,0.00626838487371817,-0.0111552047728503,0.0174002759471968,0.0169642587365797
2008-03-04,-0.013032296508678,0.00936397860009963,-0.028206194560159,-0.0214987475710924,-0.020927520105956,-0.0267157473790469,0.000367688999215243,0.0169642587365797,0.0147372573561176
2008-03-05,0.0151853499507908,-0.00750807960300737,0.0244910200082957,0.0295281748392053,0.0273785608173558,0.0463422293472169,-0.00573355518237273,0.0147372573561176,0.0162275160288958
2008-03-06,-0.0259412836689918,0.00417811279875213,-0.0199242227779406,-0.0265532842035485,-0.0456717538646809,0.0100972471514265,0.0204672180737004,0.0162275160288958,0.0168960938630963
2008-03-07,-0.0177350231948967,0.00107155624016853,-0.0108164190001148,-0.0213694665890483,-0.0174592213717686,-0.00370318041770012,0.0179518245066665,0.0168960938630963,0.0174397202102021
2008-03-10,-0.0306590241839668,0.0155856511041863,-0.0188562993613175,-0.027508068162764,-0.0181679562713826,0.0261023175277879,0.0095929690450629,0.0174397202102021,0.0190821389146647
2008-03-11,0.0387083939165436,-0.0114293691442686,0.0384933400666219,0.0402787277115064,0.0461485563846837,0.00766287274556987,-0.0160250619974991,0.0190821389146647,0.0188769409476384
2008-03-12,-0.00306721613805827,-0.00779232447210709,-0.0049047447882371,0.00982119433998907,-0.0124463071511172,0.0103390829048156,0.00329187314238544,0.0188769409476384,0.0186640515421134
2008-03-13,0.00165521712291472,0.0105142196437086,-0.0131981611237197,0.00522194398115161,0.00748635802819608,0.00318080878897664,0.0116872803885091,0.0186640515421134,0.0185772677305316
2008-03-14,-0.00465120860411616,0.0162938782383051,-0.0198690577090685,0.022318522955695,-0.0115408089920912,-0.00163458082162915,0.0137452695468006,0.0185772677305316,0.0190637368115514
2008-03-17,-0.0324452029618953,0.00446649427243861,-0.038657931747732,-0.0625258337475225,-0.0332413337798019,-0.0397698050745179,0.00715470325756584,0.0190637368115514,0.0204350978962294
